year,month_num,E,W,predominant
2015,8,37.77292576419214,62.227074235807855,W
2015,9,43.66883116883117,56.33116883116883,W
2015,10,57.17439293598234,42.82560706401766,E
2015,11,10.935023771790808,89.06497622820919,W
2015,12,12.104283054003725,87.89571694599627,W
2016,1,25.59852670349908,74.40147329650092,W
2016,2,26.81564245810056,73.18435754189943,W
2016,3,43.386243386243386,56.613756613756614,W
2016,4,29.166666666666668,70.83333333333334,W
2016,5,56.61764705882353,43.38235294117647,E
2016,6,29.32330827067669,70.67669172932331,W
2016,7,6.946454413892909,93.05354558610709,W
2016,8,23.29192546583851,76.70807453416148,W
2016,9,20.533880903490758,79.46611909650923,W
2016,10,66.43598615916954,33.56401384083045,E
2016,11,35.845896147403685,64.15410385259631,W
2016,12,35.24720893141946,64.75279106858054,W
2017,1,45.07692307692307,54.92307692307692,W
2017,2,34.33962264150943,65.66037735849056,W
2017,3,29.079159935379646,70.92084006462036,W
2017,4,21.024734982332156,78.97526501766784,W
2017,5,53.94045534150613,46.05954465849387,E
2017,6,22.02283849918434,77.97716150081567,W
2017,7,21.1340206185567,78.8659793814433,W
2017,8,16.582914572864322,83.41708542713567,W
2017,9,23.339317773788153,76.66068222621185,W
2017,10,5.4399999999999995,94.56,W
2017,11,2.618657937806874,97.38134206219313,W
2017,12,5.972434915773354,94.02756508422665,W
2018,1,26.409495548961427,73.59050445103857,W
2018,2,50.50301810865191,49.49698189134809,E
2018,3,54.93934142114385,45.06065857885615,E
2018,4,46.3519313304721,53.648068669527895,W
2018,5,65.4054054054054,34.5945945945946,E
2018,6,55.65749235474006,44.342507645259936,E
2018,7,40.72790294627383,59.27209705372617,W
2018,8,9.335443037974683,90.66455696202532,W
2018,9,20.209059233449477,79.79094076655052,W
2018,10,29.457364341085274,70.54263565891473,W
2018,11,69.84126984126983,30.158730158730158,E
2018,12,25.950413223140494,74.0495867768595,W
2019,1,13.880126182965299,86.1198738170347,W
2019,2,30.214424951267056,69.78557504873294,W
2019,3,11.717495987158909,88.28250401284109,W
2019,4,83.46709470304975,16.53290529695024,E
2019,5,32.42784380305603,67.57215619694398,W
2019,6,44.27767354596623,55.72232645403376,W
2019,7,30.550918196994992,69.44908180300501,W
2019,8,18.107667210440457,81.89233278955955,W
2019,9,24.567474048442904,75.4325259515571,W
2019,10,32.26890756302521,67.73109243697479,W
2019,11,52.98507462686567,47.01492537313433,E
2019,12,17.259786476868328,82.74021352313167,W
2020,1,9.197324414715718,90.80267558528428,W
2020,2,6.065573770491803,93.93442622950819,W
2020,3,46.5288035450517,53.4711964549483,W
2020,4,76.54516640253566,23.454833597464344,E
2020,5,50.609756097560975,49.390243902439025,E
2020,6,45.472061657032754,54.52793834296724,W
2020,7,6.995230524642289,93.0047694753577,W
2020,8,37.36462093862816,62.63537906137184,W
2020,9,30.18242122719735,69.81757877280266,W
2020,10,21.17039586919105,78.82960413080895,W
2020,11,32.6171875,67.3828125,W
2020,12,18.346774193548388,81.65322580645162,W
2021,1,25.16778523489933,74.83221476510067,W
2021,2,56.91964285714286,43.080357142857146,E
2021,3,28.71452420701169,71.28547579298832,W
2021,4,68.85245901639344,31.147540983606557,E
2021,5,27.377049180327866,72.62295081967213,W
2021,6,46.983546617915906,53.016453382084094,W
2021,7,36.97632058287796,63.02367941712204,W
2021,8,32.869565217391305,67.13043478260869,W
2021,9,44.77351916376306,55.22648083623694,W
2021,10,16.061185468451242,83.93881453154876,W
2021,11,4.409171075837742,95.59082892416225,W
2021,12,32.44094488188976,67.55905511811024,W
2022,1,10.56782334384858,89.43217665615141,W
2022,2,5.944055944055944,94.05594405594405,W
2022,3,85.19793459552496,14.802065404475043,E
2022,4,57.80730897009967,42.19269102990033,E
2022,5,22.366288492706644,77.63371150729336,W
2022,6,38.294010889292196,61.705989110707804,W
2022,7,26.306620209059233,73.69337979094077,W
2022,8,54.146341463414636,45.85365853658537,E
2022,9,31.27659574468085,68.72340425531915,W
2022,10,28.49162011173184,71.50837988826815,W
2022,11,24.59016393442623,75.40983606557377,W
2022,12,32.136105860113425,67.86389413988658,W
2023,1,11.11111111111111,88.88888888888889,W
2023,2,30.057803468208093,69.94219653179191,W
2023,3,26.365348399246702,73.6346516007533,W
2023,4,60.502692998204665,39.497307001795335,E
2023,5,63.258232235701904,36.741767764298096,E
2023,6,63.262195121951216,36.73780487804878,E
2023,7,6.927710843373494,93.07228915662651,W
2023,8,14.457831325301203,85.54216867469879,W
2023,9,44.65849387040281,55.34150612959719,W
2023,10,28.999999999999996,71.0,W
2023,11,16.693679092382496,83.3063209076175,W
2023,12,12.561983471074381,87.43801652892562,W
2024,1,22.434782608695652,77.56521739130436,W
2024,2,16.402116402116402,83.5978835978836,W
2024,3,43.01270417422868,56.98729582577132,W
2024,4,19.00826446280992,80.99173553719008,W
2024,5,48.79852125693161,51.20147874306839,W
2024,6,15.517241379310345,84.48275862068965,W
2024,7,23.076923076923077,76.92307692307693,W
2024,8,16.565349544072948,83.43465045592706,W
2024,9,42.49605055292259,57.50394944707741,W
2024,10,44.60431654676259,55.39568345323741,W
2024,11,42.549371633752244,57.450628366247756,W
2024,12,23.00163132137031,76.99836867862969,W
2025,1,26.972477064220186,73.02752293577981,W
2025,2,66.45962732919256,33.54037267080746,E
2025,3,62.246777163904234,37.75322283609576,E
2025,4,79.14691943127961,20.85308056872038,E
2025,5,59.6252129471891,40.3747870528109,E
2025,6,17.432646592709986,82.56735340729001,W
2025,7,16.859504132231404,83.14049586776859,W
2025,8,0.0,100.0,W
